
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
BC:14:01:30:F2:BA, 2015-06-20 22:28:54, 2015-06-20 22:29:53,  3,  54, OPN ,       ,   , -80,       22,        0,   0.  0.  0.  0,  20, SilverSycamore-guest, 
0C:47:3D:6E:A5:B8, 2015-06-20 22:29:21, 2015-06-20 22:29:22,  9,  54, WPA2, CCMP TKIP,PSK, -44,        3,       12,   0.  0.  0.  0,   8, CGN-A5B0, 
24:A2:E1:EC:31:04, 2015-06-20 22:29:20, 2015-06-20 22:29:21,  6,  54, WPA2, CCMP,PSK, -58,        3,        0,   0.  0.  0.  0,  12, Rudy's WiFi , 
BC:14:01:29:7B:58, 2015-06-20 22:29:22, 2015-06-20 22:29:22, 11,  54, WPA2, CCMP TKIP,PSK, -63,        2,        0,   0.  0.  0.  0,   8, Rogers11, 
90:72:40:11:C2:46, 2015-06-20 22:29:22, 2015-06-20 22:29:22, 11,  54, WPA2, CCMP,PSK, -75,        1,        0,   0.  0.  0.  0,  10, Apple Tree, 
BC:14:01:30:F2:B9, 2015-06-20 22:29:02, 2015-06-20 22:29:16,  3,  54, WPA2, CCMP,PSK, -80,        3,        0,   0.  0.  0.  0,   0, , 
C0:A0:BB:F8:2D:B4, 2015-06-20 22:29:02, 2015-06-20 22:29:26,  8,  54, WPA2, CCMP TKIP,PSK, -60,        5,        0,   0.  0.  0.  0,   3, eka, 
44:E9:DD:44:B0:62, 2015-06-20 22:28:52, 2015-06-20 22:30:06,  1,  54, WPA2, CCMP,PSK, -85,        7,        0,   0.  0.  0.  0,   7, BELL500, 
84:94:8C:94:E4:A8, 2015-06-20 22:28:52, 2015-06-20 22:30:17,  2,  54, WPA2, CCMP TKIP,PSK, -81,      156,       10,   0.  0.  0.  0,   9, PinkZebra, 
84:94:8C:94:E4:AC, 2015-06-20 22:28:50, 2015-06-20 22:30:17,  2,  54, OPN ,       ,   , -82,      177,        0,   0.  0.  0.  0,  15, PinkZebra-guest, 
FA:8F:CA:53:CF:C0, 2015-06-20 22:28:50, 2015-06-20 22:30:18,  2,  54, OPN ,       ,   , -80,      436,        0,   0.  0.  0.  0,   0, , 
F0:82:61:46:7B:61, 2015-06-20 22:28:53, 2015-06-20 22:30:18,  1,  54, WPA2, CCMP,PSK, -76,       10,        0,   0.  0.  0.  0,  11, Rudy's WiFi, 
20:AA:4B:3D:33:36, 2015-06-20 22:28:50, 2015-06-20 22:30:18,  1,  54, WPA2WPA , CCMP TKIP,PSK, -72,      420,       69,   0.  0.  0.  0,   4, Arab, 
BC:4D:FB:5C:89:48, 2015-06-20 22:28:50, 2015-06-20 22:30:18,  1,  54, WPA2WPA , CCMP TKIP,PSK, -73,      187,        0,   0.  0.  0.  0,  17, UndercoverBrother, 
84:94:8C:4A:10:B8, 2015-06-20 22:28:50, 2015-06-20 22:30:10,  1,  54, WPA2, CCMP TKIP,PSK, -66,      469,        0,   0.  0.  0.  0,   8, Bluberry, 
D8:6C:E9:1D:E8:7D, 2015-06-20 22:28:50, 2015-06-20 22:30:18,  1,  54, WPA2, CCMP,PSK, -62,      617,       14,   0.  0.  0.  0,  15, Surveillancevan, 
78:8D:F7:E8:42:08, 2015-06-20 22:28:51, 2015-06-20 22:30:13,  4,  54, WPA2, CCMP TKIP,PSK, -39,       78,        3,   0.  0.  0.  0,  14, RottenAvocados, 
78:8D:F7:B4:98:E8, 2015-06-20 22:28:50, 2015-06-20 22:30:18,  2,  54, WPA2, CCMP TKIP,PSK, -33,      849,      340,   0.  0.  0.  0,  10, mine123456, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
40:78:6A:98:F0:72, 2015-06-20 22:29:03, 2015-06-20 22:29:03, -82,        8, (not associated) , #TELUSDirect,dlinknetwork
50:85:69:B5:37:77, 2015-06-20 22:28:56, 2015-06-20 22:28:56, -60,        1, 78:8D:F7:E8:42:08,
F4:09:D8:A8:99:2E, 2015-06-20 22:29:08, 2015-06-20 22:29:08, -76,        1, 84:94:8C:4A:10:B8,
60:A4:4C:B6:D0:85, 2015-06-20 22:28:50, 2015-06-20 22:30:04, -127,      204, 78:8D:F7:B4:98:E8,
50:1A:C5:D0:5A:C6, 2015-06-20 22:29:22, 2015-06-20 22:29:22, -127,       12, 0C:47:3D:6E:A5:B8,
00:22:41:8A:D8:BF, 2015-06-20 22:29:22, 2015-06-20 22:29:22, -85,        1, 90:72:40:11:C2:46,
F4:F1:E1:53:1F:38, 2015-06-20 22:29:28, 2015-06-20 22:30:12, -83,       11, 20:AA:4B:3D:33:36,
8C:2D:AA:39:F6:D5, 2015-06-20 22:29:25, 2015-06-20 22:29:29, -81,        2, (not associated) , Apple Tree
6C:AD:F8:C1:A9:B0, 2015-06-20 22:30:03, 2015-06-20 22:30:03, -80,        2, (not associated) , mithuHome
00:22:5F:26:84:4B, 2015-06-20 22:29:28, 2015-06-20 22:30:08, -79,        9, 20:AA:4B:3D:33:36,
E4:CE:8F:30:0C:98, 2015-06-20 22:28:53, 2015-06-20 22:30:18, -77,       66, F0:82:61:46:7B:61,
6C:AD:F8:D3:B5:C9, 2015-06-20 22:29:02, 2015-06-20 22:29:45, -75,        4, 84:94:8C:94:E4:A8,
E8:50:8B:E1:52:D2, 2015-06-20 22:29:33, 2015-06-20 22:29:34, -64,        6, (not associated) ,
F0:25:B7:9C:80:28, 2015-06-20 22:29:04, 2015-06-20 22:29:59, -60,        8, D8:6C:E9:1D:E8:7D,
C0:38:96:D0:C7:7B, 2015-06-20 22:29:00, 2015-06-20 22:29:30, -59,        4, D8:6C:E9:1D:E8:7D,
58:55:CA:28:71:CB, 2015-06-20 22:29:00, 2015-06-20 22:29:45, -50,       28, (not associated) , AK2011,John,BELL504,Sandra
78:4B:87:F8:D3:EF, 2015-06-20 22:29:00, 2015-06-20 22:30:00, -38,       11, (not associated) ,
00:80:92:B6:24:75, 2015-06-20 22:29:19, 2015-06-20 22:29:49, -22,       56, 78:8D:F7:B4:98:E8,
D8:00:4D:E7:BA:F5, 2015-06-20 22:28:52, 2015-06-20 22:30:06,  -1,       46, 20:AA:4B:3D:33:36,
28:BA:B5:05:25:F4, 2015-06-20 22:29:28, 2015-06-20 22:30:12,  -1,        5, 20:AA:4B:3D:33:36,
7C:DD:90:25:9F:FE, 2015-06-20 22:29:34, 2015-06-20 22:30:06,  -1,        5, 20:AA:4B:3D:33:36,
B4:18:D1:0C:E6:6A, 2015-06-20 22:29:38, 2015-06-20 22:30:08,  -1,        2, 20:AA:4B:3D:33:36,
20:68:9D:AB:A8:D3, 2015-06-20 22:28:55, 2015-06-20 22:30:13,   0,      195, 78:8D:F7:B4:98:E8,

