
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
BC:14:01:30:F2:BA, 2015-06-20 22:29:46, 2015-06-20 22:29:53,  3,  54, OPN ,       ,   , -80,        5,        0,   0.  0.  0.  0,  20, SilverSycamore-guest, 
84:94:8C:94:E4:A8, 2015-06-20 22:29:41, 2015-06-20 22:30:17,  2,  54, WPA2, CCMP TKIP,PSK, -81,       53,        2,   0.  0.  0.  0,   9, PinkZebra, 
84:94:8C:94:E4:AC, 2015-06-20 22:29:41, 2015-06-20 22:30:17,  2,  54, OPN ,       ,   , -82,       59,        0,   0.  0.  0.  0,  15, PinkZebra-guest, 
FA:8F:CA:53:CF:C0, 2015-06-20 22:29:41, 2015-06-20 22:30:18,  2,  54, OPN ,       ,   , -80,      119,        0,   0.  0.  0.  0,   0, , 
F0:82:61:46:7B:61, 2015-06-20 22:29:41, 2015-06-20 22:30:18,  1,  54, WPA2, CCMP,PSK, -77,        3,        0,   0.  0.  0.  0,  11, Rudy's WiFi, 
20:AA:4B:3D:33:36, 2015-06-20 22:29:41, 2015-06-20 22:30:18,  1,  54, WPA2WPA , CCMP TKIP,PSK, -72,      124,        8,   0.  0.  0.  0,   4, Arab, 
BC:4D:FB:5C:89:48, 2015-06-20 22:29:41, 2015-06-20 22:30:18,  1,  54, WPA2WPA , CCMP TKIP,PSK, -73,       57,        0,   0.  0.  0.  0,  17, UndercoverBrother, 
84:94:8C:4A:10:B8, 2015-06-20 22:29:41, 2015-06-20 22:30:10,  1,  54, WPA2, CCMP TKIP,PSK, -66,      100,        0,   0.  0.  0.  0,   8, Bluberry, 
D8:6C:E9:1D:E8:7D, 2015-06-20 22:29:41, 2015-06-20 22:30:18,  1,  54, WPA2, CCMP,PSK, -62,      241,        7,   0.  0.  0.  0,  15, Surveillancevan, 
78:8D:F7:E8:42:08, 2015-06-20 22:29:41, 2015-06-20 22:30:13,  4,  54, WPA2, CCMP TKIP,PSK, -39,       15,        0,   0.  0.  0.  0,  14, RottenAvocados, 
78:8D:F7:B4:98:E8, 2015-06-20 22:29:41, 2015-06-20 22:30:18,  2,  54, WPA2, CCMP TKIP,PSK, -33,      363,      131,   0.  0.  0.  0,  10, mine123456, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
60:A4:4C:B6:D0:85, 2015-06-20 22:29:41, 2015-06-20 22:30:04, -127,       69, 78:8D:F7:B4:98:E8,
F4:F1:E1:53:1F:38, 2015-06-20 22:29:43, 2015-06-20 22:30:12, -83,        5, 20:AA:4B:3D:33:36,
6C:AD:F8:C1:A9:B0, 2015-06-20 22:30:03, 2015-06-20 22:30:03, -80,        2, (not associated) , mithuHome
E4:CE:8F:30:0C:98, 2015-06-20 22:29:41, 2015-06-20 22:30:18, -77,       19, F0:82:61:46:7B:61,
6C:AD:F8:D3:B5:C9, 2015-06-20 22:29:45, 2015-06-20 22:29:45, -75,        1, 84:94:8C:94:E4:A8,
F0:25:B7:9C:80:28, 2015-06-20 22:29:53, 2015-06-20 22:29:59, -60,        5, D8:6C:E9:1D:E8:7D,
58:55:CA:28:71:CB, 2015-06-20 22:29:45, 2015-06-20 22:29:45, -50,       16, (not associated) , AK2011,John,BELL504,Sandra
78:4B:87:F8:D3:EF, 2015-06-20 22:30:00, 2015-06-20 22:30:00, -38,        6, (not associated) ,
7C:DD:90:25:9F:FE, 2015-06-20 22:29:43, 2015-06-20 22:30:06,  -1,        2, 20:AA:4B:3D:33:36,
00:22:5F:26:84:4B, 2015-06-20 22:29:43, 2015-06-20 22:30:08,  -1,        3, 20:AA:4B:3D:33:36,
00:80:92:B6:24:75, 2015-06-20 22:29:49, 2015-06-20 22:29:49,  -1,       24, 78:8D:F7:B4:98:E8,
D8:00:4D:E7:BA:F5, 2015-06-20 22:30:00, 2015-06-20 22:30:06,  -1,       11, 20:AA:4B:3D:33:36,
B4:18:D1:0C:E6:6A, 2015-06-20 22:30:08, 2015-06-20 22:30:08,  -1,        1, 20:AA:4B:3D:33:36,
28:BA:B5:05:25:F4, 2015-06-20 22:30:08, 2015-06-20 22:30:12,  -1,        2, 20:AA:4B:3D:33:36,
20:68:9D:AB:A8:D3, 2015-06-20 22:29:46, 2015-06-20 22:30:13,   0,       67, 78:8D:F7:B4:98:E8,

